0,Rodoviaria,-25.436685313663702,-49.25729768998949
1,Rua Realeza 259,-25.537503896483102,-49.27330563089403
2,Rua Romeu Bach 80,-25.49713858941814,-49.22764263089468
3,Avenida Erasto Gaertner 797,-25.40058093351869,-49.23951832904512
4,Rua Pedro Bochino 750,-25.4520446830482,-49.2176890597315
5,Rua Des. Cid Campelo 8060,-25.480052592704045,-49.33671660205921
6,Rua Jaime Reis 331,-25.42633815353645,-49.27716762996685
7,Rua Conde dos Arcos 295,-25.47849551747209,-49.27272227525401
8,Rua Divina Providência 1445,-25.461568352091838,-49.31671651580506
9,Rua José Casagrande 220,-25.413383198369694,-49.30131520236352
10,R. Adriana Ceres Zago Bueno 1350,-25.565966817477257,-49.333533417257755
